Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
"bis(2-ethylhexyl) 2,3,4,5-tetrabromophthalate",C576262,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.23,1
chlorantranilipole,C517733,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.23,1
Erythromycin,D004917,114-07-8,"Kidney Tubular Necrosis, Acute",MESH:D007683,,FABP1,3.23,1
Fusaric Acid,D005669,536-69-6,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.23,1
methyleugenol,C005223,93-15-2,"Kidney Tubular Necrosis, Acute",MESH:D007683,,FABP1,3.23,1
Orotic Acid,D009963,65-86-1,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.23,1
1-stearoyl-2-arachidonoylglycerol,C075809,65914-84-3,Acute Kidney Injury,MESH:D058186,,TGFB1,3.22,1
"24,25-epoxycholesterol",C028358,68138-65-8,Acute Kidney Injury,MESH:D058186,,NOS3,3.22,1
"3-benzyl-7-(2-benzoxazolyl)thio-1,2,3-triazolo(4,5-d)pyrimidine",C511179,,Acute Kidney Injury,MESH:D058186,,NFE2L2,3.22,1
4-oxo-2-nonenal,C403894,,Acute Kidney Injury,MESH:D058186,,GSTP1,3.22,1
Amygdalin,D000678,29883-15-6,Acute Kidney Injury,MESH:D058186,,TGFB1,3.22,1
Cancer Vaccines,D019496,,Acute Kidney Injury,MESH:D058186,,TGFB1,3.22,1
florfenicol,C035534,,Acute Kidney Injury,MESH:D058186,,NOS3|SIRT1|SOD1|TGFB1|TLR2|VEGFA,3.22,7
Flurothyl,D005481,333-36-8,Acute Kidney Injury,MESH:D058186,,GSTP1,3.22,1
Glycine Agents,D018684,,Acute Kidney Injury,MESH:D058186,,TGFB1,3.22,1
Iodoacetic Acid,D019807,64-69-7,Acute Kidney Injury,MESH:D058186,,BAX|TNF,3.22,3
Leu-Ser-Lys-Leu peptide,C487834,,Acute Kidney Injury,MESH:D058186,,TGFB1,3.22,1
NPLC 0393,C559056,,Acute Kidney Injury,MESH:D058186,,TGFB1,3.22,1
Pyridoxal Phosphate,D011732,54-47-7,Acute Kidney Injury,MESH:D058186,,POMC,3.22,1
pyriminil,C012598,53558-25-1,Acute Kidney Injury,MESH:D058186,,GSTP1,3.22,1
"Resins, Plant",D012116,,Acute Kidney Injury,MESH:D058186,,CYP3A23-3A1,3.22,1
siomycin A,C024711,,Acute Kidney Injury,MESH:D058186,,NFE2L2,3.22,1
"2,2',3,5',6-pentachlorobiphenyl",C032904,38379-99-6,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.22,1
"7,12-benz(a)anthraquinone",C077646,2498-66-0,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.22,1
Daunorubicin,D003630,20830-81-3,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA|SOD2,3.22,2
helenalin,C001329,6754-13-8,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.22,1
Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.22,1
Penicillin G,D010400,61-33-6,"Kidney Tubular Necrosis, Acute",MESH:D007683,,FABP1,3.22,1
Selenic Acid,D064586,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.22,1
"1,4-bis(2,3-epoxypropoxy)butane",C014376,2425-79-8,Acute Kidney Injury,MESH:D058186,,TNF,3.21,3
